names,index,setting,Core,Parallelism,cri,makespan
our ,0,NoCore,5,30,20,37102
other ,0,NoCore ,5,30,20,39383
our ,1,NoCore,5,30,20,37102
other ,1,NoCore ,5,30,20,39709
our ,2,NoCore,5,30,20,37102
other ,2,NoCore ,5,30,20,42112
our ,3,NoCore,5,30,20,37102
other ,3,NoCore ,5,30,20,39131
our ,4,NoCore,5,30,20,37102
other ,4,NoCore ,5,30,20,39293
our ,5,NoCore,5,30,20,37102
other ,5,NoCore ,5,30,20,41132
our ,6,NoCore,5,30,20,37102
other ,6,NoCore ,5,30,20,40182
our ,7,NoCore,5,30,20,37102
other ,7,NoCore ,5,30,20,37551
our ,8,NoCore,5,30,20,37102
other ,8,NoCore ,5,30,20,37854
our ,9,NoCore,5,30,20,37102
other ,9,NoCore ,5,30,20,41554
our ,10,NoCore,5,30,20,37102
other ,10,NoCore ,5,30,20,39317
our ,11,NoCore,5,30,20,37102
other ,11,NoCore ,5,30,20,38213
our ,12,NoCore,5,30,20,37102
other ,12,NoCore ,5,30,20,37905
our ,13,NoCore,5,30,20,37102
other ,13,NoCore ,5,30,20,41680
our ,14,NoCore,5,30,20,37102
other ,14,NoCore ,5,30,20,40639
our ,15,NoCore,5,30,20,37102
other ,15,NoCore ,5,30,20,42447
our ,16,NoCore,5,30,20,37102
other ,16,NoCore ,5,30,20,41556
our ,17,NoCore,5,30,20,37102
other ,17,NoCore ,5,30,20,40783
our ,18,NoCore,5,30,20,37102
other ,18,NoCore ,5,30,20,43316
our ,19,NoCore,5,30,20,37102
other ,19,NoCore ,5,30,20,42048
our ,20,NoCore,5,30,20,37102
other ,20,NoCore ,5,30,20,39605
our ,21,NoCore,5,30,20,37102
other ,21,NoCore ,5,30,20,43278
our ,22,NoCore,5,30,20,37102
other ,22,NoCore ,5,30,20,42383
our ,23,NoCore,5,30,20,37102
other ,23,NoCore ,5,30,20,37658
our ,24,NoCore,5,30,20,37102
other ,24,NoCore ,5,30,20,41055
our ,25,NoCore,5,30,20,37102
other ,25,NoCore ,5,30,20,41885
our ,26,NoCore,5,30,20,37102
other ,26,NoCore ,5,30,20,38122
our ,27,NoCore,5,30,20,37102
other ,27,NoCore ,5,30,20,43357
our ,28,NoCore,5,30,20,37102
other ,28,NoCore ,5,30,20,39195
our ,29,NoCore,5,30,20,37102
other ,29,NoCore ,5,30,20,38810
our ,30,NoCore,5,30,20,37102
other ,30,NoCore ,5,30,20,37896
our ,0,NoCore,6,30,20,33535
our ,31,NoCore,5,30,20,37102
other ,0,NoCore ,6,30,20,34345
other ,31,NoCore ,5,30,20,38527
our ,1,NoCore,6,30,20,33535
our ,32,NoCore,5,30,20,37102
other ,1,NoCore ,6,30,20,34912
other ,32,NoCore ,5,30,20,38801
our ,2,NoCore,6,30,20,33535
our ,33,NoCore,5,30,20,37102
other ,2,NoCore ,6,30,20,34828
our ,3,NoCore,6,30,20,33535
other ,33,NoCore ,5,30,20,39253
other ,3,NoCore ,6,30,20,38155
our ,34,NoCore,5,30,20,37102
our ,4,NoCore,6,30,20,33535
other ,34,NoCore ,5,30,20,36701
other ,4,NoCore ,6,30,20,35129
our ,35,NoCore,5,30,20,37102
our ,5,NoCore,6,30,20,33535
other ,35,NoCore ,5,30,20,38246
other ,5,NoCore ,6,30,20,37355
our ,36,NoCore,5,30,20,37102
our ,6,NoCore,6,30,20,33535
other ,6,NoCore ,6,30,20,34847
other ,36,NoCore ,5,30,20,41420
our ,7,NoCore,6,30,20,33535
our ,37,NoCore,5,30,20,37102
